Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  2,  64,  1,  1,  32, 0 , 1.17
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 256,  1,  16,  16,  4,  1, 0 , 32.74
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  2048,  1,  8,  1,  4, 0 , 1.27
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  128,  1,  4,  1,  8, 0 , 1.35
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  1024,  1,  4,  16,  1, 0 , 32.77
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  1,  256,  64,  4,  1, 0 , 80.93
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  2,  64,  2,  2,  16, 0 , 32.7
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  2,  512,  8,  2,  2, 0 , 1.18
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  64,  1,  32,  4,  2, 0 , 80.89
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  8,  128,  1,  2,  32, 0 , 32.75
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  256,  8,  32,  2, 0 , 89.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  1,  256,  2,  4,  32, 0 , 80.85
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  4,  32,  8,  8,  2, 0 , 64.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  2,  2048,  32,  1,  2, 0 , 32.77
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  16,  256,  2,  16,  1, 0 , 1.33
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  16,  4,  64,  1,  8, 0 , 89.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  2,  8,  16,  32,  1, 0 , 89.81
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  8,  4,  16,  1,  16, 0 , 80.88
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1024,  2,  1,  1,  128,  1, 0 , 64.89
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  4,  1024,  2,  4,  8, 0 , 32.73
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 256,  8,  1,  4,  1,  32, 0 , 64.86
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  128,  1,  64,  16,  1, 0 , 89.78
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  8,  64,  8,  1,  32, 0 , 80.88
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  512,  4,  2,  16,  2, 0 , 32.74
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  2,  32,  16,  32,  2, 0 , 89.77
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  512,  2,  64,  1,  2, 0 , 64.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 512,  1,  16,  4,  4,  2, 0 , 1.26
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  4,  128,  2,  8,  2, 0 , 1.29
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  2048,  1,  1,  2,  16, 0 , 1.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  32,  256,  1,  2,  16, 0 , 1.27
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  4,  256,  1,  4,  64, 0 , 80.94
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  1,  512,  8,  4,  16, 0 , 89.81
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  2,  256,  1,  256,  2, 0 , 89.81
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  8,  4,  4,  64,  1, 0 , 80.91
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  32,  2,  1,  1,  64, 0 , 32.74
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  8,  4,  16,  64,  1, 0 , 89.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  2048,  4,  32,  1,  1, 0 , 1.24
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  64,  2,  32,  32,  1, 0 , 89.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  256,  8,  4,  4, 0 , 64.74
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 512,  1,  4,  4,  16,  2, 0 , 64.83
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  1024,  2,  32,  2, 0 , 64.82
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  1024,  2,  4,  16, 0 , 64.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  64,  2,  64,  1,  1, 0 , 32.76
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  4,  16,  256,  1,  1, 0 , 80.89
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  2048,  1,  2,  2,  16, 0 , 32.71
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  8,  16,  16,  8,  4, 0 , 89.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  128,  1,  8,  1,  64, 0 , 89.81
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  2,  4096,  2,  1,  16, 0 , 1.25
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  1,  64,  4,  4,  8, 0 , 64.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  2,  8,  128,  1,  4, 0 , 89.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  2,  32,  32,  1,  8, 0 , 80.89
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 512,  2,  2,  4,  32,  1, 0 , 64.85
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  64,  2,  1,  64,  1, 0 , 32.76
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  8,  2,  1024,  1,  1, 0 , 89.77
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  4,  64,  64,  4,  4, 0 , 89.75
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  8,  128,  8,  4,  8, 0 , 80.87
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  2,  2,  4,  16,  16, 0 , 89.77
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  512,  1,  1,  16,  2, 0 , 1.91
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  16,  8,  16,  8,  1, 0 , 64.84
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  64,  1,  4,  8,  16, 0 , 89.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  32,  8,  16,  1,  2, 0 , 1.26
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  16,  4,  8,  32,  1, 0 , 80.91
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  2,  4,  16,  16,  2, 0 , 89.78
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 128,  2,  1,  2,  256,  2, 0 , 89.73
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 128,  8,  2,  16,  4,  2, 0 , 64.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  16,  1,  64,  2,  4, 0 , 89.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  1,  512,  64,  4,  2, 0 , 89.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 512,  1,  4,  64,  2,  1, 0 , 64.88
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  32,  8,  1024,  1,  1, 0 , 89.81
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  2,  256,  1,  16,  32, 0 , 89.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  128,  1,  4,  2,  32, 0 , 80.9
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  64,  16,  2,  8,  4, 0 , 32.73
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  4,  32,  2,  2,  64, 0 , 80.87
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  2,  32,  2,  1,  32, 0 , 32.7
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  64,  1,  16,  8,  4, 0 , 89.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  4,  256,  4,  16,  2, 0 , 64.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  128,  32,  4,  1,  16, 0 , 32.78
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  128,  8,  4,  1,  32, 0 , 64.84
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  1024,  4,  1,  32,  2, 0 , 32.76
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  8,  8,  1,  64,  1, 0 , 32.71
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 16,  1,  16,  4,  64,  4, 0 , 89.76
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  8,  16,  16,  2,  2, 0 , 32.72
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  32,  4,  1,  64,  4, 0 , 80.92
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  4,  64,  8,  8,  2, 0 , 64.81
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  4,  64,  16,  32,  1, 0 , 89.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  64,  64,  2,  1,  32, 0 , 32.76
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1024,  2,  8,  8,  1, 0 , 32.75
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  8,  64,  16,  8,  2, 0 , 80.87
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  1,  16,  4,  1,  64, 0 , 80.9
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  8,  4,  8,  8,  16, 0 , 89.76
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  1,  16,  64,  8,  1, 0 , 89.8
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  1,  512,  16,  4,  8, 0 , 89.81
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 32,  4,  32,  1,  2,  32, 0 , 32.74
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  64,  4,  64,  2,  1, 0 , 64.85
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  256,  1,  1,  64,  2, 0 , 64.83
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  32,  4,  4,  64,  1, 0 , 80.94
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  4,  1,  2,  128,  4, 0 , 89.76
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  256,  2,  16,  4,  8, 0 , 89.79
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 1,  2,  2048,  64,  1,  1, 0 , 32.85
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  8,  512,  4,  1,  8, 0 , 1.22
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  2,  2,  8,  8,  16, 0 , 89.77
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 4,  16,  64,  16,  2,  2, 0 , 32.67
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  128,  1,  1,  32,  1, 0 , 1.21
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  8,  64,  32,  1,  8, 0 , 80.88
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 64,  128,  1,  8,  4,  1, 0 , 1.29
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 8,  32,  16,  1,  2,  32, 0 , 32.76
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  1,  4096,  2,  4,  4, 0 , 1.18
Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
