Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy
0,32,2,1,8,8,1,0,0.058941
0,1,4,1,1,32,32,0,0.147024
0,4,4,2,2,2,32,0,0.059682
0,1,8,1,16,4,8,0,0.11733
0,32,2,1,4,1,16,0,0.058929
0,1,8,4,4,16,2,0,0.059763
0,2,8,2,32,2,2,0,0.059681
0,2,8,4,4,1,16,0,0.058866
0,4,2,2,1,4,64,0,0.085542
0,2,2,4,1,32,8,0,0.083935
0,1,32,4,1,8,4,0,0.048372
0,2,2,1,64,1,16,0,0.146986
0,1,2,4,8,4,16,0,0.118259
0,4,4,1,2,64,2,0,0.084339
0,1,1,16,8,1,32,0,0.082507
0,2,64,1,8,2,2,0,0.048628
0,1,8,2,4,4,16,0,0.084266
0,4,4,4,4,16,1,0,0.058932
0,128,1,1,1,8,4,0,0.04762
0,4,1,2,2,16,16,0,0.118444
0,1,2,4,256,1,2,0,0.118085
0,2,2,2,16,1,32,0,0.117536
0,2,1,2,256,2,2,0,0.151192
0,1,1,64,1,64,1,0,0.058897
0,1,32,1,1,4,32,0,0.058997
0,1,2,16,8,16,1,0,0.058802
0,16,4,2,16,2,1,0,0.048589
0,1,2,32,4,1,16,0,0.059048
0,2,2,16,8,4,2,0,0.059586
0,2,1,4,32,8,2,0,0.118976
0,1,4,8,16,8,1,0,0.058868
0,2,32,1,4,1,16,0,0.059412
0,4,2,1,16,32,1,0,0.117704
0,2,16,2,32,1,2,0,0.058872
0,1,2,2,128,4,2,0,0.150378
0,4,16,2,1,32,1,0,0.048333
0,4,16,1,2,8,4,0,0.059024
0,1,8,16,8,1,4,0,0.048559
0,1,32,4,2,2,8,0,0.048521
0,1,64,1,1,32,2,0,0.058828
0,32,4,1,2,16,1,0,0.048416
0,16,1,4,4,8,2,0,0.059667
0,16,4,1,8,1,8,0,0.058927
0,64,2,1,1,8,4,0,0.049905
0,2,2,2,1,512,1,0,0.117663
0,1,2,32,16,4,1,0,0.058743
0,1,2,4,32,16,1,0,0.115723
0,1,1,32,4,4,8,0,0.058596
0,4,8,1,1,128,1,0,0.058881
0,2,2,1,512,2,1,0,0.148225
0,2,16,2,4,8,2,0,0.059559
0,2,32,1,4,16,1,0,0.058926
0,1,2,64,2,1,16,0,0.04864
0,2,2,4,8,4,8,0,0.085899
0,32,1,4,16,2,1,0,0.048247
0,1,1,4,2,8,64,0,0.143165
0,1,8,2,16,8,2,0,0.084352
0,1,2,4,8,2,32,0,0.118808
0,8,2,8,1,2,16,0,0.04913
0,2,4,1,16,32,1,0,0.118672
0,8,8,1,16,1,4,0,0.05909
0,2,1,32,32,2,1,0,0.058862
0,2,1,2,64,1,16,0,0.143295
0,2,16,1,32,2,2,0,0.059141
0,4,4,1,2,16,8,0,0.08398
0,4,1,4,2,64,2,0,0.084136
