Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 256,  2,  4,  1,  128,  1, 0 , 0.861397
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  128,  2,  4,  8,  4, 0 , 0.86158
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 64,  2,  16,  4,  4,  8, 0 , 0.861379
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  8,  8,  8,  8,  8, 0 , 0.627543
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  128,  8,  1,  128,  1, 0 , 0.860992
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  2,  64,  4,  4,  4, 0 , 0.944655
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 16,  8,  32,  2,  1,  32, 0 , 0.945575
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  128,  4,  1,  16,  4, 0 , 0.946011
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  2,  16,  16,  32,  2, 0 , 0.634083
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 16,  2,  8,  2,  512,  1, 0 , 0.635695
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  1024,  1,  1,  16,  16, 0 , 0.754343
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  1,  256,  2,  128,  2, 0 , 0.627302
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2048,  1,  4,  2,  16,  1, 0 , 0.965635
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 64,  4,  8,  8,  2,  8, 0 , 0.861727
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  32,  16,  4,  4,  32, 0 , 0.628196
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  4,  32,  2,  512,  1, 0 , 0.633323
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  512,  4,  2,  2,  32, 0 , 0.862591
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  32,  2,  2,  2,  32, 0 , 0.861541
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  16,  2,  2,  128,  4, 0 , 0.63453
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  8,  64,  1,  32,  8, 0 , 0.754895
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 256,  2,  2,  16,  4,  4, 0 , 0.754147
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  64,  32,  4,  4,  4, 0 , 0.945001
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  16,  256,  1,  16,  4, 0 , 0.946415
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 128,  4,  4,  4,  16,  2, 0 , 0.861851
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1024,  2,  4,  1,  16,  2, 0 , 0.965493
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  2,  128,  4,  1,  64, 0 , 0.751115
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  1,  256,  2,  2,  32, 0 , 0.861099
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  2,  32,  1,  64,  2, 0 , 0.861992
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  32,  2,  4,  32,  4, 0 , 0.628845
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4,  2,  32,  256,  4,  1, 0 , 0.632993
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  256,  2,  2,  4,  32, 0 , 0.754391
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1024,  1,  8,  2,  8,  2, 0 , 0.96502
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 32,  1,  32,  4,  16,  4, 0 , 0.753948
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 64,  2,  4,  8,  8,  8, 0 , 0.626606
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  32,  4,  64,  16,  1, 0 , 0.634165
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 128,  32,  1,  8,  4,  2, 0 , 0.945544
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  8,  8,  4,  8,  16, 0 , 0.627273
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 128,  16,  4,  1,  32,  1, 0 , 0.965692
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 2,  32,  4,  16,  32,  2, 0 , 0.634353
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 512,  4,  2,  1,  64,  1, 0 , 0.946328
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  1,  1024,  4,  4,  16, 0 , 0.75433
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 4096,  2,  1,  2,  16,  1, 0 , 0.965749
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  2,  1024,  16,  2,  4, 0 , 0.862842
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 1,  4,  64,  2,  8,  64, 0 , 0.633231
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
 0, 8,  2,  16,  1,  256,  4, 0 , 0.635455
Kernel,gx,gy,gz,bx,by,bz,gpuId,occupancy 
